key,message,comment,context
"Code","Codi","",""
"Name","Nom","",""
"Centro","Centre","",""
"Curso académico-Grupo","Curs acadèmic-Grup","",""
"Dirección","Direcció","",""
"Ciudad","Ciutat","",""
"Código Postal","Codi Postal","",""
"Provincia","Província","",""
"Curso académico actual","Curs acadèmic actual","",""
"Cursos académicos","Cursos acadèmics","",""
"Centro Actual","Centre Actual","",""
"Cursos Académicos","Cursos Acadèmics","",""
"Cargos por Curso Académico","Càrrecs per Curs Acadèmic","",""
"Departamentos por Curso Académico","Departaments per Curs Acadèmic","",""
"Curso académico-Departamento","Curs acadèmic-Departament","",""
"Curso académico-Cargo","Curs acadèmic-Càrrec","",""
