key,message,comment,context
"Código estado","Código estado","",""
"Estado","Estado","",""
"Código Evento","Código Evento","",""
"Evento","Evento","",""
"Expediente","Expediente","",""
"Fecha","Fecha","",""
"Code","Código","",""
"Name","Nombre","",""
"Ayuda","Ayuda","",""
"Tipo de expediente por defecto","Tipo de expediente por defecto","",""
"Tipo tramite","Tipo tramite","",""
"Publico","Publico","",""
"Privado","Privado","",""
"Profesor","Profesor","",""
"Alumno","Alumno","",""
"Tutor","Tutor","",""
"Dirección","Dirección","",""
"Administrativo","Administrativo","",""
"Conserje","Conserje","",""
"Tipo de Expediente","Tipo de Expediente","",""
"Num. Exped.","Num. Exped.","",""
"Código del estado","Código del estado","",""
"Fecha último estado","Fecha último estado","",""
"Cerrado","Cerrado","",""
"Historial estados","Historial estados","",""
"Ámbito creador","Ámbito creador","",""
"Ámbito responsable","Ámbito responsable","",""
"Clase que maneja los eventos","Clase que maneja los eventos","",""
"Tramite","Tramite","",""
"Estados","Estados","",""
"Perfil","Perfil","",""
"Tipo expediente","Tipo expediente","",""
"Creador","Creador","",""
"Responsable","Responsable","",""
"Secretario","Secretario","",""
"Director","Director","",""
"Auditor","Auditor","",""
"Centro","Centro","",""
"Departamento","Departamento","",""
"Ciclo","Ciclo","",""
"Curso","Curso","",""
"Grupo","Grupo","",""
"Módulo","Módulo","",""
"Individual","Individual","",""
"value:Profesor","Profesor","",""
"value:Alumno","Alumno","",""
"value:Tutor","Tutor","",""
"value:Dirección","Dirección","",""
"value:Administrativo","Administrativo","",""
"value:Conserje","Conserje","",""
"value:Creador","Creador","",""
"value:Responsable","Responsable","",""
"value:Secretario","Secretario","",""
"value:Director","Director","",""
"value:Auditor","Auditor","",""
"value:Centro","Centro","",""
"value:Departamento","Departamento","",""
"value:Ciclo","Ciclo","",""
"value:Curso","Curso","",""
"value:Grupo","Grupo","",""
"value:Módulo","Módulo","",""
"value:Individual","Individual","",""
"Año","Año","",""
"Último número","Último número","",""
"ID","ID","",""
"Tipo de número","Tipo de número","",""
"Tipo de trámite","Tipo de trámite","",""
"Valores Ámbito del Creador","Valores Ámbito del Creador","",""
"Valores Ámbito del Responsable","Valores Ámbito del Responsable","",""
"Centro Actual","Centro Actual","",""
"Centro receptor","Centro receptor","",""
"Valores Ámbito del Auditor","Valores Ámbito del Auditor","",""
"Ámbito auditor","Ámbito auditor","",""
"Abierto","Abierto","",""
