key,message,comment,context
"Apellidos","Apellidos","",""
"Nombre","Nombre","",""
"DNI","DNI","",""
"Dias","Dias","",""
"Mes","Mes","",""
"Año","Año","",""
"Tipo jornada falta","Tipo jornada falta","",""
"Hora inicio","Hora inicio","",""
"Hora fin","Hora fin","",""
"Motivo falta","Motivo falta","",""
"Otro motivo","Otro motivo","",""
"Explicar los datos a subsanar","Explicar los datos a subsanar","",""
"Motivo del rechazo","Motivo del rechazo","",""
"Tipo resolución","Tipo resolución","",""
"Foto o PDF del justificante","Foto o PDF del justificante","",""
"Solicitud a firmar por el usuario","Solicitud a firmar por el usuario","",""
"Solicitud firmada por el usuario","Solicitud firmada por el usuario","",""
"Justificante de recepción por el centro","Justificante de recepción por el centro","",""
"Toda la jornada","Toda la jornada","",""
"Jornada parcial","Jornada parcial","",""
"Enfermedad común","Enfermedad común","",""
"Permiso médico, educativo o asistencial","Permiso médico, educativo o asistencial","",""
"Traslado de domicilio","Traslado de domicilio","",""
"Asistencia a pruebas selectivas y exámenes","Asistencia a pruebas selectivas y exámenes","",""
"Nacimiento, adopción o acogimiento","Nacimiento, adopción o acogimiento","",""
"Fallecimiento o enfermedad grave de un familiar","Fallecimiento o enfermedad grave de un familiar","",""
"Deber inexcusable","Deber inexcusable","",""
"Funciones representativas","Funciones representativas","",""
"Otros","Otros","",""
"Septiembre","Septiembre","",""
"Octubre","Octubre","",""
"Noviembre","Noviembre","",""
"Diciembre","Diciembre","",""
"Enero","Enero","",""
"Febrero","Febrero","",""
"Marzo","Marzo","",""
"Abril","Abril","",""
"Mayo","Mayo","",""
"Junio","Junio","",""
"Resolver positivamente","Resolver positivamente","",""
"Resolver negativamente(Rechazar)","Resolver negativamente(Rechazar)","",""
"Solicitar subsanación de datos","Solicitar subsanación de datos","",""
"Justificación de falta del profesorado","Justificación de falta del profesorado","",""
"Datos del Profesor","Datos del Profesor","",""
"Datos de la Falta","Datos de la Falta","",""
"Adjuntar justificante","Adjuntar justificante","",""
"Solicitud","Solicitud","",""
"Resolver expediente","Resolver expediente","",""
"Resolución","Resolución","",""
"Disconformidad de los datos presentados","Disconformidad de los datos presentados","",""
"Motivo disconformidad","Motivo disconformidad","",""
"Borrar","Borrar","",""
"Siguiente","Siguiente","",""
"Salir","Salir","",""
"Atrás","Atrás","",""
"Firmar con AutoFirma__!! y Presentar el documento","Firmar con AutoFirma__!! y Presentar el documento","",""
"ayuda","ayuda","",""
"Resolver el expediente","Resolver el expediente","",""
"value:Justificación de falta del profesorado","Justificación de falta del profesorado","",""
"value:Entrada de datos","Entrada de datos","",""
"value:Pendiente de presentación","Pendiente de presentación","",""
"value:Pendiente de resolución","Pendiente de resolución","",""
"value:Aceptado","Aceptado","",""
"value:Rechazado","Rechazado","",""
"Firmar con AutoFirma__!! y Presentar la solicitud","Firmar con AutoFirma__!! y Presentar la solicitud","",""
"Resultados Firmas","Resultados Firmas","",""
"FCT's__!!","FCT's__!!","",""
"Firmante","Firmante","",""
"Emisor del certificado","Emisor del certificado","",""
