key,message,comment,context
"Solicita","Sol·licita","",""
"Motivo","Motiu","",""
"Justificante","Justificant","",""
"Formaciones en Centros de Trabajo","Formacions en Centres de Treball","",""
"Alumno","Alumne","",""
"Prueba","Prova","",""
"Anexo A2","Annex A2","",""
"Anexo A3","Annex A3","",""
"Datos Solicitante","Dades Sol·licitant","",""
"FCT's","FCT's","",""
"Datos Resolución","Dades Resolució","",""
"Nombre","Nom","",""
"Firmar A2","Signar A2","",""
"Firmar A3","Signar A3","",""
"Borrar","Esborrar","",""
"Guardar","Guardar","",""
"Salir","Eixir","",""
"Rechazar","Rebutjar","",""
"Subsanar información","Esmenar informació","",""
"Aceptar","Acceptar","",""
"Detalle FCT","Detall FCT","",""
"value:Prueba","Prova","",""
"value:Entrada datos","Entrada dades","",""
"value:Revisión","Revisió","",""
"value:Aceptado","Acceptat","",""
"value:Rechazado","Rebutjat","",""
"Ciclo","Cicle","",""
