key,message,comment,context
"Solicita","Solicita","",""
"Motivo","Motivo","",""
"Justificante","Justificante","",""
"Formaciones en Centros de Trabajo","Formaciones en Centros de Trabajo","",""
"Alumno","Alumno","",""
"Prueba","Prueba","",""
"Anexo A2","Anexo A2","",""
"Anexo A3","Anexo A3","",""
"Datos Solicitante","Datos Solicitante","",""
"FCT's","FCT's","",""
"Datos Resolución","Datos Resolución","",""
"Nombre","Nombre","",""
"Firmar A2","Firmar A2","",""
"Firmar A3","Firmar A3","",""
"Borrar","Borrar","",""
"Guardar","Guardar","",""
"Salir","Salir","",""
"Rechazar","Rechazar","",""
"Subsanar información","Subsanar información","",""
"Aceptar","Aceptar","",""
"Detalle FCT","Detalle FCT","",""
"value:Prueba","Prueba","",""
"value:Entrada datos","Entrada datos","",""
"value:Revisión","Revisión","",""
"value:Aceptado","Aceptado","",""
"value:Rechazado","Rechazado","",""
"Ciclo","Ciclo","",""
