key,message,comment,context
"Prueba Búsqueda","Prova Cerca","",""
"Prueba de Búsqueda","Prova de Cerca","",""
"Expedientes","Expedients","",""
"Trámites","Tràmits","",""
"Trámite","Tràmit","",""
"Tutor","Tutor","",""
"Crear un nuevo expediente de tutor","Crear un nou expedient de tutor","",""
"Alumno","Alumne","",""
"Crear un nuevo expediente de alumno","Crear un nou expedient d'alumne","",""
"Profesor","Professor","",""
"Crear un nuevo expediente de profesor","Crear un nou expedient de professor","",""
"Administrativo","Administratiu","",""
"Crear un nuevo expediente de administrativo","Crear un nou expedient d'administratiu","",""
"Expedientes Esperando","Expedients Esperant","",""
"Expedientes esperando a que otra persona realice una tarea","Expedients esperant que una altra persona faci una tasca","",""
"Expedientes Pendientes","Expedients Pendents","",""
"Listado de expedientes pendientes de que realices la tarea","Llistat d'expedients pendents que facis la tasca","",""
"Conserje","Conserge","",""
"Crear un nuevo expediente de conserje","Crear un nou expedient de conserge","",""
"Dirección","Direcció","",""
"Crear un nuevo expediente de dirección","Crear un nou expedient de direcció","",""
"Expedientes Cerrados","Expedients Tancats","",""
"Expedientes cerrados","Expedients tancats","",""
"Nuevo Expediente","Nou expedient","",""
"Num. Exp.","Num. Exp.","",""
"Creado por","Creat per","",""
"Estado","Estat","",""
"Fecha","Data","",""
"Crear un nuevo expediente","Crear un nou expedient","",""
"Trámites disponibles","Tràmits disponibles","",""
"Ayuda","Ajuda","",""
"Expediente","Expedient","",""
"Mostrar historial estados","Mostrar historial estats","",""
"Firmar actas","Signar actes.Val","",""
"Nuevo expediente","Nou expedient","",""
"Descripción del trámite","Descripció del tràmit","",""
"Buscando expedientes","Buscant expedients","",""
"Año inicial","Any inicial","",""
"Año final","Any final","",""
"Año","Any","",""
"Nombre","Nom","",""
"Sistema educativo","Sistema educatiu","",""
"Familia profesional","Família professional","",""
"Ciclos","Cicles","",""
"Grados","Graus","",""
"Cursos","Cursos","",""
"Módulos","Mòduls","",""
"Cursos-Módulos","Cursos-Mòduls","",""
"Sistema educativo-RAW","Sistema educatiu-RAW","",""
"Leyes Educativas","Lleis Educatives","",""
"Niveles","Nivells","",""
"Ciclo-Ley Educativa","Cicle-Llei Educativa","",""
"Configuración Centro","Configuració Centre","",""
"Configuración Centro-RAW","Configuració Centre-RAW","",""
