key,message,comment,context
"Prueba Búsqueda","Prueba Búsqueda","",""
"Prueba de Búsqueda","Prueba de Búsqueda","",""
"Expedientes","Expedientes","",""
"Trámites","Trámites","",""
"Trámite","Trámite","",""
"Tutor","Tutor","",""
"Crear un nuevo expediente de tutor","Crear un nuevo expediente de tutor","",""
"Alumno","Alumno","",""
"Crear un nuevo expediente de alumno","Crear un nuevo expediente de alumno","",""
"Profesor","Profesor","",""
"Crear un nuevo expediente de profesor","Crear un nuevo expediente de profesor","",""
"Administrativo","Administrativo","",""
"Crear un nuevo expediente de administrativo","Crear un nuevo expediente de administrativo","",""
"Expedientes Esperando","Expedientes Esperando","",""
"Expedientes esperando a que otra persona realice una tarea","Expedientes esperando a que otra persona realice una tarea","",""
"Expedientes Pendientes","Expedientes Pendientes","",""
"Listado de expedientes pendientes de que realices la tarea","Listado de expedientes pendientes de que realices la tarea","",""
"Conserje","Conserje","",""
"Crear un nuevo expediente de conserje","Crear un nuevo expediente de conserje","",""
"Dirección","Dirección","",""
"Crear un nuevo expediente de dirección","Crear un nuevo expediente de dirección","",""
"Expedientes Cerrados","Expedientes Cerrados","",""
"Expedientes cerrados","Expedientes cerrados","",""
"Nuevo Expediente","Nuevo Expediente Cas","",""
"Num. Exp.","Num. Exp.","",""
"Creado por","Creado por","",""
"Estado","Estado","",""
"Fecha","Fecha","",""
"Crear un nuevo expediente","Crear un nuevo expediente","",""
"Trámites disponibles","Trámites disponibles","",""
"Ayuda","Ayuda","",""
"Expediente","Expediente","",""
"Mostrar historial estados","Mostrar historial estados","",""
"Firmar actas","Firmar actes.Cas","",""
"Nuevo expediente","Nuevo expediente","",""
"Descripción del trámite","Descripción del trámite","",""
"Buscando expedientes","Buscando expedientes","",""
"Año inicial","Año inicial","",""
"Año final","Año final","",""
"Año","Año","",""
"Nombre","Nombre","",""
"Sistema educativo","Sistema educativo","",""
"Familia profesional","Familia profesional","",""
"Ciclos","Ciclos","",""
"Grados","Grados","",""
"Cursos","Cursos","",""
"Módulos","Módulos","",""
"Cursos-Módulos","Cursos-Módulos","",""
"Sistema educativo-RAW","Sistema educativo-RAW","",""
"Leyes Educativas","Leyes Educativas","",""
"Niveles","Niveles","",""
"Ciclo-Ley Educativa","Ciclo-Ley Educativa","",""
"Configuración Centro","Configuración Centro","",""
"Configuración Centro-RAW","Configuración Centro-RAW","",""
