key,message,comment,context
"Estado","Estat","",""
"Año","Any","",""
"Año final","Any final","",""
"Prueba Búsqueda","Prova Cerca","",""
"Prueba de Búsqueda","Prova de Cerca","",""
"Expedientes","Expedients","",""
"Buscando expedientes","Buscant expedients","",""
"Nombre","Nom","",""
"Número Expediente","Número Expedient","",""
"Creado por","Creat per","",""
"Fecha","Data","",""
"Trámites","Tràmits","",""
"Crear un nuevo expediente","Crear un nou expedient","",""
"Trámites disponibles","Tràmits disponibles","",""
"Nuevo expediente","Nou expedient","",""
"Ayuda","Ajuda","",""
"Trámite","Tràmit","",""
"Descripción del trámite","Descripció del tràmit","",""
"Configuración Centro","Configuració Centre","",""
"Centros","Centres","",""
"Configuración Centro-RAW","Configuració Centre-RAW","",""
"Utilidades de PDF","Utilitats de PDF","",""
"Información","Informació","",""
"Posiciones Firma","Posiciones Signatura","",""
"Posición Autofirma__!!","Posició Autofirma","",""
"Información para PDF","Informació per a PDF","",""
"Registro","Registre","",""
"Entrada","Entrada","",""
"Salida","Eixida","",""
"Registro de entrada","Registre d'entrada","",""
"Registro de salida","Registre d'eixida","",""
"Expedientes Esperando","Expedients Esperant","",""
"Expedientes esperando a que otra persona realice una tarea","Expedients esperant que una altra persona faça una tasca","",""
"Configuración Secretaria Virtual","Configuració Secretària Virtual","",""
"Usuarios","Usuaris","",""
"Expedientes Pendientes","Expedients Pendents","",""
"Listado de expedientes pendientes de que realices la tarea","Llistat d'expedients pendents que faces la tasca","",""
"Tipos de Expedientes","Tipus d'Expedients","",""
"Tipos Expedientes","Tipus Expedients","",""
"Editar Prueba","Editar Prova","",""
"tipos de expedientes","tipus d'expedients","",""
"Tipo Expediente","Tipus Expedient","",""
"Listado tipos expediente","Llistat tipus expediente","",""
"Mantenimiento de Tipos Expedientes","Manteniment de Tipus Expedients","",""
"Datos","Dades","",""
"Sistema educativo","Sistema educatiu","",""
"Ciclos","Cicles","",""
"Módulos","Mòduls","",""
"Leyes Educativas","Lleis Educatives","",""
"Sistema educativo-RAW","Sistema educatiu-RAW","",""
"Familia profesional","Família professional","",""
"Cursos","Cursos","",""
"Cursos-Módulos","Cursos-Mòduls","",""
"Grados","Graus","",""
"Niveles","Nivells","",""
"Expedientes Cerrados","Expedients Tancats","",""
"Expedientes cerrados","Expedients tancats","",""
