key,message,comment,context
"Estado","Estado","",""
"Año","Año","",""
"Año final","Año final","",""
"Prueba Búsqueda","Prueba Búsqueda","",""
"Prueba de Búsqueda","Prueba de Búsqueda","",""
"Expedientes","Expedientes","",""
"Buscando expedientes","Buscando expedientes","",""
"Nombre","Nombre","",""
"Número Expediente","Número Expediente","",""
"Creado por","Creado por","",""
"Fecha","Fecha","",""
"Trámites","Trámites","",""
"Crear un nuevo expediente","Crear un nuevo expediente","",""
"Trámites disponibles","Trámites disponibles","",""
"Nuevo expediente","Nuevo expediente","",""
"Ayuda","Ayuda","",""
"Trámite","Trámite","",""
"Descripción del trámite","Descripción del trámite","",""
"Configuración Centro","Configuración Centro","",""
"Centros","Centros","",""
"Configuración Centro-RAW","Configuración Centro-RAW","",""
"Utilidades de PDF","Utilidades de PDF","",""
"Información","Información","",""
"Posiciones Firma","Posiciones Firma","",""
"Posición Autofirma__!!","Posición Autofirma__!!","",""
"Información para PDF","Información para PDF","",""
"Registro","Registro","",""
"Entrada","Entrada","",""
"Salida","Salida","",""
"Registro de entrada","Registro de entrada","",""
"Registro de salida","Registro de salida","",""
"Expedientes Esperando","Expedientes Esperando","",""
"Expedientes esperando a que otra persona realice una tarea","Expedientes esperando a que otra persona realice una tarea","",""
"Configuración Secretaria Virtual","Configuración Secretaria Virtual","",""
"Usuarios","Usuarios","",""
"Expedientes Pendientes","Expedientes Pendientes","",""
"Listado de expedientes pendientes de que realices la tarea","Listado de expedientes pendientes de que realices la tarea","",""
"Tipos de Expedientes","Tipos de Expedientes","",""
"Tipos Expedientes","Tipos Expedientes","",""
"Editar Prueba","Editar Prueba","",""
"tipos de expedientes","tipos de expedientes","",""
"Tipo Expediente","Tipo Expediente","",""
"Listado tipos expediente","Listado tipos expediente","",""
"Mantenimiento de Tipos Expedientes","Mantenimiento de Tipos Expedientes","",""
"Datos","Datos","",""
"Sistema educativo","Sistema educativo","",""
"Ciclos","Ciclos","",""
"Módulos","Módulos","",""
"Leyes Educativas","Leyes Educativas","",""
"Sistema educativo-RAW","Sistema educativo-RAW","",""
"Familia profesional","Familia profesional","",""
"Cursos","Cursos","",""
"Cursos-Módulos","Cursos-Módulos","",""
"Grados","Grados","",""
"Niveles","Niveles","",""
"Expedientes Cerrados","Expedientes Cerrados","",""
"Expedientes cerrados","Expedientes cerrados","",""
"Firmar documentos","Firmar documentos","",""
"Pendientes","Pendientes","",""
"Firmados","Firmados","",""
"Rechazados","Rechazados","",""
"Todos","Todos","",""
"Documentos Pendientes de firmas","Documentos Pendientes de firmas","",""
"Documentos ya firmados","Documentos ya firmados","",""
"Documentos que se han rechazado firmar","Documentos que se han rechazado firmar","",""
"Todos los documentos firmados","Todos los documentos firmados","",""
