key,message,comment,context
"Code","Codi","",""
"Name","Nom","",""
"Dirección","Direcció","",""
"Ciudad","Ciutat","",""
"Código Postal","Codi Postal","",""
"Provincia","Província","",""
"Centro Actual","Centre Actual","",""
"DNI","DNI","",""
"Centro Activo","Centre Actiu","",""
"Código","Codi","",""
"Nombre","Nom","",""
"Municipio","Municipi","",""
"Comunidad Autónoma","Comunitat Autònoma","",""
"municipio","municipi","",""
"Apellidos","Cognoms","",""
"Conselleria","Conselleria","",""
"NIA","NIA","",""
"Nº Registro Personal","Núm. Registre Personal","",""
"Correo electrónico","Correu electrònic","",""
"Teléfono","Telèfon","",""
"Nombre apellidos","Nomene cognoms","",""
"Apellidos nombre","Cognoms nomene","",""
