key,message,comment,context
"Code","Código","",""
"Name","Nombre","",""
"Dirección","Dirección","",""
"Ciudad","Ciudad","",""
"Código Postal","Código Postal","",""
"Provincia","Provincia","",""
"Centro Actual","Centro Actual","",""
"DNI","DNI","",""
"Centro Activo","Centro Activo","",""
"Código","Código","",""
"Nombre","Nombre","",""
"Municipio","Municipio","",""
"Comunidad Autónoma","Comunidad Autónoma","",""
"municipio","municipio","",""
"Apellidos","Apellidos","",""
"Conselleria","Conselleria","",""
"NIA","NIA","",""
"Nº Registro Personal","Nº Registro Personal","",""
"Correo electrónico","Correo electrónico","",""
"Teléfono","Teléfono","",""
"Nombre apellidos","Nombre apellidos","",""
"Apellidos nombre","Apellidos nombre","",""
