key,message,comment,context
"Preferencias","Preferencias","",""
"Cambiar a Centro:","Cambiar a Centro:","",""
"Centros","Centros","",""
"Centro","Centro","",""
"Importación","Importación","",""
"Fichero profesores","Fichero profesores","",""
"Fichero alumnos","Fichero alumnos","",""
"Importar","Importar","",""
"Usuarios","Usuarios","",""
"Usuario","Usuario","",""
"Importar usuarios","Importar usuarios","",""
"Fichero usuarios","Fichero usuarios","",""
"DNI / NIE","DNI / NIE","",""
"Centro Principal","Centro Principal","",""
