key,message,comment,context
"Code","Codi","",""
"Name","Nom","",""
"Centro","Centre","",""
"Curso académico-Grupo","Curs acadèmic-Grup","",""
"Dirección","Direcció","",""
"Ciudad","Ciutat","",""
"Código Postal","Codi Postal","",""
"Provincia","Província","",""
"Curso académico actual","Curs acadèmic actual","",""
"Cursos académicos","Cursos acadèmics","",""
"Centro Actual","Centre Actual","",""
"Cursos Académicos","Cursos Acadèmics","",""
"Cargos por Curso Académico","Càrrecs per Curs Acadèmic","",""
"Departamentos por Curso Académico","Departaments per Curs Acadèmic","",""
"Curso académico-Departamento","Curs acadèmic-Departament","",""
"Curso académico-Cargo","Curs acadèmic-Càrrec","",""
"NO","NO","",""
"Fichero profesores","Fitxer professors","",""
"Fichero alumnos","Fitxer alumnes","",""
"Presencial","Presencial","",""
"Semipresencial","Semipresencial","",""
"Docente","Docent","",""
"Docente sin familia profesional","Docent sense família professional","",""
"No Docente","No Docent","",""
"Estudiante","Estudiant","",""
"Administración","Administració","",""
"Conserjería","Consergeria","",""
"Visitante","Visitant","",""
"Administrador","Administrador","",""
"Director","Director","",""
"Vicedirector","Vicedirector","",""
"Jefe de estudios","Cap d'estudis","",""
"Secretario","Secretari","",""
"Vicesecretario","Vicesecretari","",""
"Delegado","Delegat","",""
"Subdelegado","Subdelegat","",""
"tutor","tutor","",""
"Jefe de departamento","Cap de departament","",""
"Tipo de Grupo","Tipus de Grup","",""
"Ciclo","Cicle","",""
"Centro usuario","Centre usuari","",""
"Módulos","Mòduls","",""
"Sello","Segell","",""
"Grupos","Grups","",""
"Departamentos","Departaments","",""
"Cargos","Càrrecs","",""
"Tipo de usuario","Tipus d'usuari","",""
"Tipo de cargo","Tipus de càrrec","",""
"Usuario","Usuari","",""
"Tipo Usuario","Tipus Usuari","",""
"Curso Académico 2","Curs Acadèmic 2","",""
"Departamento 1","Departament 1","",""
"Curso","Curs","",""
"Tutor","Tutor","",""
"Familia Profesional","Família Professional","",""
"Tipo de Departamento","Tipus de Departament","",""
"Curso académico","Curs acadèmic","",""
"Curso Académico","Curs Acadèmic","",""
"Departamento","Departament","",""
"Asignaciones de rol académico","Assignacions de rol acadèmic","",""
"Administrador del centro","Administrador del centre","",""
"Centro Activo","Centre Actiu","",""
