key,message,comment,context
"Code","Código","",""
"Name","Nombre","",""
"Centro","Centro","",""
"Curso académico-Grupo","Curso académico-Grupo","",""
"Dirección","Dirección","",""
"Ciudad","Ciudad","",""
"Código Postal","Código Postal","",""
"Provincia","Provincia","",""
"Curso académico actual","Curso académico actual","",""
"Cursos académicos","Cursos académicos","",""
"Centro Actual","Centro Actual","",""
"Cursos Académicos","Cursos Académicos","",""
"Cargos por Curso Académico","Cargos por Curso Académico","",""
"Departamentos por Curso Académico","Departamentos por Curso Académico","",""
"Curso académico-Departamento","Curso académico-Departamento","",""
"Curso académico-Cargo","Curso académico-Cargo","",""
