key,message,comment,context
"Código estado","Codi estat","",""
"Estado","Estat","",""
"Código Evento","Codi Esdeveniment","",""
"Evento","Esdeveniment","",""
"Expediente","Expedient","",""
"Fecha","Data","",""
"Code","Codi","",""
"Name","Nom","",""
"Ayuda","Ajuda","",""
"Tipo de expediente por defecto","Tipus d'expedient per defecte","",""
"Tipo tramite","Tipus tramiti","",""
"Publico","Publico","",""
"Privado","Privat","",""
"Profesor","Professor","",""
"Alumno","Alumne","",""
"Tutor","Tutor","",""
"Dirección","Direcció","",""
"Administrativo","Administratiu","",""
"Conserje","Conserge","",""
"Tipo de Expediente","Tipus d'Expedient","",""
"Num. Exped.","Num. Exped.","",""
"Código del estado","Codi de l'estat","",""
"Fecha último estado","Data últim estat","",""
"Cerrado","Tancat","",""
"Historial estados","Historial estats","",""
"Ámbito creador","Àmbit creador","",""
"Ámbito responsable","Àmbit responsable","",""
"Clase que maneja los eventos","Classe que maneja els esdeveniments","",""
"Tramite","Tramiti","",""
"Estados","Estats","",""
"Perfil","Perfil","",""
"Tipo expediente","Tipus expedienti","",""
"Creador","Creador","",""
"Responsable","Responsable","",""
"Secretario","Secretari","",""
"Director","Director","",""
"Auditor","Auditor","",""
"Centro","Centre","",""
"Departamento","Departament","",""
"Ciclo","Cicle","",""
"Curso","Curs","",""
"Grupo","Grup","",""
"Módulo","Mòdul","",""
"Individual","Individual","",""
"value:Profesor","Professor","",""
"value:Alumno","Alumne","",""
"value:Tutor","Tutor","",""
"value:Dirección","Direcció","",""
"value:Administrativo","Administratiu","",""
"value:Conserje","Conserge","",""
"value:Creador","Creador","",""
"value:Responsable","Responsable","",""
"value:Secretario","Secretari","",""
"value:Director","Director","",""
"value:Auditor","Auditor","",""
"value:Centro","Centre","",""
"value:Departamento","Departament","",""
"value:Ciclo","Cicle","",""
"value:Curso","Curs","",""
"value:Grupo","Grup","",""
"value:Módulo","Mòdul","",""
"value:Individual","Individual","",""
"Año","Any","",""
"Último número","Últim número","",""
"ID","ID","",""
"Tipo de número","Tipus de número","",""
"Tipo de trámite","Tipus de tràmit","",""
"Valores Ámbito del Creador","Valores Àmbit del Creador","",""
"Valores Ámbito del Responsable","Valores Àmbit del Responsable","",""
"Centro Actual","Centre Actual","",""
"Centro receptor","Centre receptor","",""
"Valores Ámbito del Auditor","Valores Àmbit de l'Auditor","",""
"Ámbito auditor","Àmbit auditor","",""
"Abierto","Obert","",""
