key,message,comment,context
"Información para PDF","Informació per a PDF","",""
"Firmas","Signatures","",""
"Registro de entrada","Registre d'entrada","",""
"Rechazar firmar","Rebutjar signar","",""
"Firmar con AutoFirma__!!","Signar amb AutoFirma","",""
"Introduzca el motivo","Introduïsca el motiu","",""
"Motivo de Rechazo","Motiu de Rebuig","",""
"Aceptar","Acceptar","",""
"Resolución","Resolució","",""
"Documento a firmar","Document a signar","",""
"Acciones","Accions","",""
"Atrás","Arrere","",""
"Finalizar","Finalitzar","",""
"Firmar con AutoFirma__!! y finalizar","Signar amb AutoFirma i finalitzar","",""
"Más información sobre AutoFirma__!!","Més informació sobre AutoFirma","",""
"Resolver","Resoldre","",""
"Rechazar firmar el documento","Rebutjar signar el document","",""
"Firmar el documento","Signar el document","",""
