key,message,comment,context
"Información para PDF","Información para PDF","",""
"Firmas","Firmas","",""
"Registro de entrada","Registro de entrada","",""
"Rechazar firmar","Rechazar firmar","",""
"Firmar con AutoFirma__!!","Firmar con AutoFirma__!!","",""
"Introduzca el motivo","Introduzca el motivo","",""
"Motivo de Rechazo","Motivo de Rechazo","",""
"Aceptar","Aceptar","",""
"Resolución","Resolución","",""
"Documento a firmar","Documento a firmar","",""
"Acciones","Acciones","",""
"Atrás","Atrás","",""
"Finalizar","Finalizar","",""
"Firmar con AutoFirma__!! y finalizar","Firmar con AutoFirma__!! y finalizar","",""
"Más información sobre AutoFirma__!!","Más información sobre AutoFirma__!!","",""
"Resolver","Resolver","",""
"Rechazar firmar el documento","Rechazar firmar el documento","",""
"Firmar el documento","Firmar el documento","",""
