key,message,comment,context
"Familias profesionales","Familias profesionales","",""
"Familia Profesional","Familia Profesional","",""
"Familia profesional","Familia profesional","",""
"Cursos","Cursos","",""
"Curso","Curso","",""
"Ciclos","Ciclos","",""
"Ciclo","Ciclo","",""
"Grados","Grados","",""
"Grado","Grado","",""
"Módulos","Módulos","",""
"Módulo","Módulo","",""
"Cursos-Módulos","Cursos-Módulos","",""
"Curso-Módulos","Curso-Módulos","",""
"Curso-Módulo","Curso-Módulo","",""
"Leyes educativas","Leyes educativas","",""
"Ley educativa","Ley educativa","",""
"Niveles","Niveles","",""
"Nivel","Nivel","",""
"Ley Educativa","Ley Educativa","",""
