key,message,comment,context
"Código","Codi","",""
"Nombre","Nom","",""
"Provincia","Província","",""
"Centro","Centre","",""
"Usuario","Usuari","",""
"Centro usuario tipo usuario","Centre usuari tipus usuari","",""
"Usuario centro","Usuari centre","",""
"Tipo usuario","Tipus usuari","",""
"Sello","Segell","",""
"Administrador del centro","Administrador del centre","",""
"Usuarios","Usuaris","",""
"Importar profesores","Importar professors","",""
"Importar alumnos","Importar alumnes","",""
"Dirección","Direcció","",""
"Código Postal","Codi Postal","",""
"Municipio","Municipi","",""
"Conselleria","Conselleria","",""
"Apellidos","Cognoms","",""
"DNI","DNI","",""
"NIA","NIA","",""
"Nº Registro Personal","Núm. Registre Personal","",""
"Correo electrónico","Correu electrònic","",""
"Teléfono","Telèfon","",""
"Nombre apellidos","Nomene cognoms","",""
"Apellidos nombre","Cognoms nomene","",""
"Code","Codi","",""
"Name","Nom","",""
"Comunidad Autónoma","Comunitat Autònoma","",""
"Centro Activo","Centre Actiu","",""
"Centro usuarios","Centre usuaris","",""
"Perfil en centro activo","Perfil en centre actiu","",""
"Importar usuarios","Importar usuaris","",""
