key,message,comment,context
"Código","Código","",""
"Nombre","Nombre","",""
"Provincia","Provincia","",""
"Centro","Centro","",""
"Usuario","Usuario","",""
"Centro usuario tipo usuario","Centro usuario tipo usuario","",""
"Usuario centro","Usuario centro","",""
"Tipo usuario","Tipo usuario","",""
"Sello","Sello","",""
"Administrador del centro","Administrador del centro","",""
"Usuarios","Usuarios","",""
"Importar profesores","Importar profesores","",""
"Importar alumnos","Importar alumnos","",""
"Dirección","Dirección","",""
"Código Postal","Código Postal","",""
"Municipio","Municipio","",""
"Conselleria","Conselleria","",""
"Apellidos","Apellidos","",""
"DNI","DNI","",""
"NIA","NIA","",""
"Nº Registro Personal","Nº Registro Personal","",""
"Correo electrónico","Correo electrónico","",""
"Teléfono","Teléfono","",""
"Nombre apellidos","Nombre apellidos","",""
"Apellidos nombre","Apellidos nombre","",""
"Code","Código","",""
"Name","Nombre","",""
"Comunidad Autónoma","Comunidad Autónoma","",""
"Centro Activo","Centro Activo","",""
"Centro usuarios","Centro usuarios","",""
"Perfil en centro activo","Perfil en centro activo","",""
"Importar usuarios","Importar usuarios","",""
