key,message,comment,context
"Preferencias","Preferències","",""
"Cambiar a Centro:","Canviar a Centre:","",""
"Centros","Centres","",""
"Centro","Centre","",""
"Importación","Importació","",""
"Fichero profesores","Fitxer professors","",""
"Fichero alumnos","Fitxer alumnes","",""
"Importar","Importar","",""
"Usuarios","Usuaris","",""
"Usuario","Usuari","",""
"Importar usuarios","Importar usuaris","",""
"Fichero usuarios","Fitxer usuaris","",""
"DNI / NIE","DNI / NIE","",""
"Centro Principal","Centre Principal","",""
