key,message,comment,context
"Code","Código","",""
"Name","Nombre","",""
"Centro","Centro","",""
"Curso académico-Grupo","Curso académico-Grupo","",""
"Dirección","Dirección","",""
"Ciudad","Ciudad","",""
"Código Postal","Código Postal","",""
"Provincia","Provincia","",""
"Curso académico actual","Curso académico actual","",""
"Cursos académicos","Cursos académicos","",""
"Centro Actual","Centro Actual","",""
"Cursos Académicos","Cursos Académicos","",""
"Cargos por Curso Académico","Cargos por Curso Académico","",""
"Departamentos por Curso Académico","Departamentos por Curso Académico","",""
"Curso académico-Departamento","Curso académico-Departamento","",""
"Curso académico-Cargo","Curso académico-Cargo","",""
"NO","NO","",""
"Fichero profesores","Fichero profesores","",""
"Fichero alumnos","Fichero alumnos","",""
"Presencial","Presencial","",""
"Semipresencial","Semipresencial","",""
"Docente","Docente","",""
"Docente sin familia profesional","Docente sin familia profesional","",""
"No Docente","No Docente","",""
"Estudiante","Estudiante","",""
"Administración","Administración","",""
"Conserjería","Conserjería","",""
"Visitante","Visitante","",""
"Administrador","Administrador","",""
"Director","Director","",""
"Vicedirector","Vicedirector","",""
"Jefe de estudios","Jefe de estudios","",""
"Secretario","Secretario","",""
"Vicesecretario","Vicesecretario","",""
"Delegado","Delegado","",""
"Subdelegado","Subdelegado","",""
"tutor","tutor","",""
"Jefe de departamento","Jefe de departamento","",""
"Tipo de Grupo","Tipo de Grupo","",""
"Ciclo","Ciclo","",""
"Centro usuario","Centro usuario","",""
"Módulos","Módulos","",""
"Sello","Sello","",""
"Grupos","Grupos","",""
"Departamentos","Departamentos","",""
"Cargos","Cargos","",""
"Tipo de usuario","Tipo de usuario","",""
"Tipo de cargo","Tipo de cargo","",""
"Usuario","Usuario","",""
"Tipo Usuario","Tipo Usuario","",""
"Curso Académico 2","Curso Académico 2","",""
"Departamento 1","Departamento 1","",""
"Curso","Curso","",""
"Tutor","Tutor","",""
"Familia Profesional","Familia Profesional","",""
"Tipo de Departamento","Tipo de Departamento","",""
"Curso académico","Curso académico","",""
"Curso Académico","Curso Académico","",""
"Departamento","Departamento","",""
"Asignaciones de rol académico","Asignaciones de rol académico","",""
"Administrador del centro","Administrador del centro","",""
"Centro Activo","Centro Activo","",""
