key,message,comment,context
"Código estado","Codi estat","",""
"Estado","Estat","",""
"Código Evento","Codi Esdeveniment","",""
"Evento","Esdeveniment","",""
"Expediente","Expedient","",""
"Registro entrada","Registre entrada","",""
"Registro salida","Registre eixida","",""
"Fecha","Data","",""
"Code","Codi","",""
"Name","Nom","",""
"Ayuda","Ajuda","",""
"Tipo de expediente por defecto","Tipus d'expedient per defecte","",""
"Tipo de trámite","Tipus de tràmit","",""
"Publico","Publique","",""
"Privado","Privat","",""
"Tipo de Expediente","Tipus d'Expedient","",""
"Num.__!! Exped.__!!","Num. Exped.","",""
"Código del estado","Codi de l'estat","",""
"Fecha último estado","Data últim estat","",""
"Abierto","Obert","",""
"Historial estados","Historial estats","",""
"Centro","Centre","",""
"Creador","Creador","",""
"Persona interesada","Persona interessada","",""
"Persona solicitante","Persona sol·licitant","",""
"Clase que maneja los eventos","Classe que maneja els esdeveniments","",""
"Clase que maneja las validaciones","Classe que maneja les validacions","",""
"Tramite","Tramite","",""
"Estados","Estats","",""
"Perfil","Perfil","",""
"Tipo expediente","Tipus expediente","",""
"Responsable","Responsable","",""
"Secretario","Secretari","",""
"Director","Director","",""
"Auditor","Auditor","",""
"DNI de la persona que debe firmar los documentos de entrada","DNI de la persona que ha de signar els documents d'entrada","",""
