key,message,comment,context
"Código estado","Código estado","",""
"Estado","Estado","",""
"Código Evento","Código Evento","",""
"Evento","Evento","",""
"Expediente","Expediente","",""
"Registro entrada","Registro entrada","",""
"Registro salida","Registro salida","",""
"Fecha","Fecha","",""
"Code","Código","",""
"Name","Nombre","",""
"Ayuda","Ayuda","",""
"Tipo de expediente por defecto","Tipo de expediente por defecto","",""
"Tipo de trámite","Tipo de trámite","",""
"Publico","Publico","",""
"Privado","Privado","",""
"Tipo de Expediente","Tipo de Expediente","",""
"Num.__!! Exped.__!!","Num. Exped.","",""
"Código del estado","Código del estado","",""
"Fecha último estado","Fecha último estado","",""
"Abierto","Abierto","",""
"Historial estados","Historial estados","",""
"Centro","Centro","",""
"Creador","Creador","",""
"Persona interesada","Persona interesada","",""
"Persona solicitante","Persona solicitante","",""
"Tramite","Tramite","",""
"Perfil","Perfil","",""
"Tipo expediente","Tipo expediente","",""
"Responsable","Responsable","",""
"Secretario","Secretario","",""
"Director","Director","",""
"Auditor","Auditor","",""
"DNI de la persona que debe firmar los documentos de entrada","DNI de la persona que debe firmar los documentos de entrada","",""
"Usuario registrador","Usuario registrador","",""
"Paquete base de las clases del tipo de expediente","Paquete base de las clases del tipo de expediente","",""
"Código de la fase","Código de la fase","",""
"Fase","Fase","",""
