key,message,comment,context
"Motivo","Motiu","",""
"Firma","Signatura","",""
"Firmante","Signant","",""
"Documento a firmar","Document a signar","",""
"Documento firmado","Document signat","",""
"Fecha de la solicitud","Data de la sol·licitud","",""
"Fecha de la resolución","Data de la resolució","",""
"Estado","Estat","",""
"Motivo firma","Motiu signa","",""
"Motivo rechazo","Motiu rebutge","",""
"FQCN donde notificar","FQCN on notificar","",""
"FQCN del datos de vuelta","FQCN del dades de tornada","",""
"Datos de vuelta","Dades de tornada","",""
"X","X","",""
"Y","I","",""
"Ancho","Ample","",""
"Alto","Alt","",""
"Pendiente de firmar","Pendent de signar","",""
"Firmado","Signat","",""
"Rechazada la firma","Rebutjada la signatura","",""
"Firmar el documento","Signar el document","",""
"Rechazar la firma del documento","Rebutjar la signatura del document","",""
"Firma rápida","Signatura ràpida","",""
"Motivo del rechazo de la firma del documento","Motiu del rebuig de la signatura del document","",""
"Documentos firma","Documents signa","",""
"Motivo del rechazo de la firma de los documentos","Motiu del rebuig de la signatura dels documents","",""
"Página","Pàgina","",""
"Tarea de firma","Tasca de signatura","",""
"Documento original a firmar","Document original a signar","",""
"Tarea firma","Tasca signa","",""
"Nombre del archivo","Nom de l'arxiu","",""
"Clave de firma","Clau de signatura","",""
"Situación de firma","Situació de signatura","",""
"Sin DNI","Sense DNI","",""
"Sin certificado digital","Sense certificat digital","",""
"Dispositivo criptográfico con PIN guardado","Dispositiu criptogràfic amb PIN guardat","",""
"Dispositivo criptográfico sin PIN guardado","Dispositiu criptogràfic sense PIN guardat","",""
"Fichero con contraseña guardada","Fitxer amb contrasenya guardada","",""
"Fichero sin contraseña guardada","Fitxer sense contrasenya guardada","",""
