key,message,comment,context
"Firmas","Signatures","",""
"Registro de entrada","Registre d'entrada","",""
"Documento a firmar","Document a signar","",""
"Resolver","Resoldre","",""
"Rechazar firmar","Rebutjar signar","",""
"Firmar con AutoFirma__!!","Signar amb AutoFirma","",""
"Rechazar firmar el documento","Rebutjar signar el document","",""
"Atrás","Arrere","",""
"Finalizar","Finalitzar","",""
"Firmar el documento","Signar el document","",""
"Más información sobre AutoFirma__!!","Més informació sobre AutoFirma","",""
"Firmar con AutoFirma__!! y finalizar","Signar amb AutoFirma i finalitzar","",""
