key,message,comment,context
"Firmas","Firmas","",""
"Registro de entrada","Registro de entrada","",""
"Documento a firmar","Documento a firmar","",""
"Resolver","Resolver","",""
"Rechazar firmar","Rechazar firmar","",""
"Firmar con AutoFirma__!!","Firmar con AutoFirma","",""
"Rechazar firmar el documento","Rechazar firmar el documento","",""
"Atrás","Atrás","",""
"Finalizar","Finalizar","",""
"Firmar el documento","Firmar el documento","",""
"Más información sobre AutoFirma__!!","Más información sobre AutoFirma","",""
"Firmar con AutoFirma__!! y finalizar","Firmar con AutoFirma y finalizar","",""
"Documentos a firmar","Documentos a firmar","",""
"Anexos","Anexos","",""
"Anexo","Anexo","",""
"Documento firmado","Documento firmado","",""
"Documentos","Documentos","",""
"Documento","Documento","",""
"Documento original","Documento original","",""
"Firmas de documentos","Firmas de documentos","",""
"Firmar todos los documentos con AutoFirma__!! y finalizar","Firmar todos los documentos con AutoFirma y finalizar","",""
"Firmar todos los documentos","Firmar todos los documentos","",""
"Guardar","Guardar","",""
"Estado de la tarea a firmar","Estado de la tarea a firmar","",""
