key,message,comment,context
"Utilidades para PDF","Utilitats per a PDF","",""
"PDF","PDF","",""
"Firmar en posición indicada","Signar en posició indicada","",""
"PDF Firmado","PDF Signat","",""
"Información del PDF","Informació del PDF","",""
"Ver posiciones de firma","Veure posicions de signatura","",""
"Posición Autofirma__!!","Posició Autofirma","",""
"Posiciones Firma","Posiciones Signatura","",""
"Información para PDF","Informació per a PDF","",""
"Información","Informació","",""
"Posiciones de firma","Posicions de signatura","",""
"Ver información","Veure informació","",""
