key,message,comment,context
"Familias profesionales","Famílies professionals","",""
"Familia Profesional","Família Professional","",""
"Familia profesional","Família professional","",""
"Cursos","Cursos","",""
"Curso","Curs","",""
"Ciclos","Cicles","",""
"Ciclo","Cicle","",""
"Grados","Graus","",""
"Grado","Grau","",""
"Módulos","Mòduls","",""
"Módulo","Mòdul","",""
"Cursos-Módulos","Cursos-Mòduls","",""
"Curso-Módulos","Curse-Mòduls","",""
"Curso-Módulo","Curse-Mòdul","",""
"Leyes educativas","Lleis educatives","",""
"Ley educativa","Llei educativa","",""
"Niveles","Nivells","",""
"Nivel","Nivell","",""
"Ley Educativa","Llei Educativa","",""
