key,message,comment,context
"Expediente","Expediente","",""
"Creado por","Creado por","",""
"Estado","Estado","",""
"Mostrar historial estados","Mostrar historial estados","",""
"Historial Estados","Historial Estados","",""
"Registro","Registro","",""
"Registro entrada","Registro entrada","",""
"Registro salida","Registro salida","",""
"Historial Estado","Historial Estado","",""
"Registro de entrada","Registro de entrada","",""
"Registro de salida","Registro de salida","",""
"Original firmado","Original firmado","",""
"Resguardo presentación","Resguardo presentación","",""
"Registro de Entrada-Original firmado","Registro de Entrada-Original firmado","",""
"Registro de Entrada-Resguardo presentación","Registro de Entrada-Resguardo presentación","",""
