key,message,comment,context
"Explicar los datos a subsanar","Explicar les dades a esmenar","",""
"Motivo del rechazo","Motiu del rebuig","",""
"Tipo resolución","Tipus resolució","",""
"Resolver positivamente","Resoldre positivament","",""
"Resolver negativamente(Rechazar)","Resoldre negativament(Rebutjar)","",""
"Solicitar subsanación de datos","Sol·licitar esmena de dades","",""
"Solicitud de resolución simple abstracta","Sol·licitud de resolució simple abstracta","",""
"value:Solicitud de resolución simple abstracta","Sol·licitud de resolució simple abstracta","",""
"value:Entrada de datos","Entrada de dades","",""
"value:Pendiente de presentación","Pendent de presentació","",""
"value:Pendiente de resolución","Pendent de resolució","",""
"value:Aceptado","Acceptat","",""
"value:Rechazado","Rebutjat","",""
