key,message,comment,context
"Explicar los datos a subsanar","Explicar los datos a subsanar","",""
"Motivo del rechazo","Motivo del rechazo","",""
"Tipo resolución","Tipo resolución","",""
"Resolver positivamente","Resolver positivamente","",""
"Resolver negativamente(Rechazar)","Resolver negativamente(Rechazar)","",""
"Solicitar subsanación de datos","Solicitar subsanación de datos","",""
"Solicitud de resolución simple abstracta","Solicitud de resolución simple abstracta","",""
"value:Solicitud de resolución simple abstracta","Solicitud de resolución simple abstracta","",""
"value:Entrada de datos","Entrada de datos","",""
"value:Pendiente de presentación","Pendiente de presentación","",""
"value:Pendiente de resolución","Pendiente de resolución","",""
"value:Aceptado","Aceptado","",""
"value:Rechazado","Rechazado","",""
