key,message,comment,context
"Certificado Tutor","Certificat Tutor","",""
"Ámbito del Creador","Àmbit del Creador","",""
"Valores del ámbito del creador","Valors de l'àmbit del creador","",""
"Ámbito del Responsable","Àmbit del Responsable","",""
"Valores del ámbito del responsable","Valors de l'àmbit del responsable","",""
"value:Certificado Tutor","Certificat Tutor","",""
"value:Entrada datos","Entrada dades","",""
"value:Revisión","Revisió","",""
"value:Aceptado","Acceptat","",""
"value:Rechazado","Rebutjat","",""
"Nada","Res","",""
"Borrar Expediente","Esborrar Expedient","",""
"Presentar","Presentar","",""
"Centro","Centre","",""
"Departamento","Departament","",""
"Cargo","Càrrec","",""
"Expedientes","Expedients","",""
