key,message,comment,context
"Certificado Tutor","Certificado Tutor","",""
"Ámbito del Creador","Ámbito del Creador","",""
"Valores del ámbito del creador","Valores del ámbito del creador","",""
"Ámbito del Responsable","Ámbito del Responsable","",""
"Valores del ámbito del responsable","Valores del ámbito del responsable","",""
"value:Certificado Tutor","Certificado Tutor","",""
"value:Entrada datos","Entrada datos","",""
"value:Revisión","Revisión","",""
"value:Aceptado","Aceptado","",""
"value:Rechazado","Rechazado","",""
"Nada","Nada","",""
"Borrar Expediente","Borrar Expediente","",""
"Presentar","Presentar","",""
"Centro","Centro","",""
"Departamento","Departamento","",""
"Cargo","Cargo","",""
"Expedientes","Expedientes","",""
