key,message,comment,context
"Expediente","Expedient","",""
"Creado por","Creat per","",""
"Estado","Estat","",""
"Mostrar historial estados","Mostrar historial estats","",""
"Historial Estados","Historial Estats","",""
"Registro","Registre","",""
"Registro entrada","Registre entrada","",""
"Registro salida","Registre eixida","",""
"Historial Estado","Historial Estat","",""
"Registro de entrada","Registre d'entrada","",""
"Registro de salida","Registre d'eixida","",""
"Original firmado","Original signat","",""
"Resguardo presentación","Resguarde presentació","",""
"Registro de Entrada-Original firmado","Registre d'Entrada-Original signat","",""
"Registro de Entrada-Resguardo presentación","Registre d'Entrada-Resguard presentació","",""
"Registro de Entrada-Anexos","Registre d'Entrada-Annexos","",""
"Anexo","Annex","",""
"Anexos","Annexos","",""
"Fichero","Fitxer","",""
"Registro de Entrada","Registre d'Entrada","",""
"Documento original firmado","Document original signat","",""
"Descargar","Descarregar","",""
